Date : 2022-07-23 14:54:45
Directory : /home/john/Desktop/tsfolder1
Total : 171 files,  248585 codes, 681 comments, 1254 blanks, all 250520 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/src/Home.js                       | JavaScript         |         13 |          2 |          7 |         22 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/src/Navbar.js                     | JavaScript         |         13 |          0 |          1 |         14 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/src/NotFound.js                   | JavaScript         |         11 |          0 |          2 |         13 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/src/index.css                     | CSS                |        107 |          4 |         10 |        121 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/src/index.js                      | JavaScript         |         10 |          3 |          5 |         18 |
| /home/john/Desktop/tsfolder1/reactpractise/dojo-practise/src/useFetch.js                   | JavaScript         |         34 |          0 |          9 |         43 |
| /home/john/Desktop/tsfolder1/src/index.ts                                                  | TypeScript         |          7 |          0 |          0 |          7 |
| /home/john/Desktop/tsfolder1/tsconfig.json                                                 | JSON with Comments |         17 |         78 |          9 |        104 |
| /home/john/Desktop/tsfolder1/weather/index.html                                            | HTML               |        432 |          0 |         22 |        454 |
| /home/john/Desktop/tsfolder1/weather/mobile_style.css                                      | CSS                |        277 |         30 |          3 |        310 |
| /home/john/Desktop/tsfolder1/weather/raw_code.css                                          | CSS                |         52 |          4 |          6 |         62 |
| /home/john/Desktop/tsfolder1/weather/script.js                                             | JavaScript         |         16 |          0 |          2 |         18 |
| /home/john/Desktop/tsfolder1/weather/style.css                                             | CSS                |        754 |         53 |        174 |        981 |
| /home/john/Desktop/tsfolder1/weather/tab_style.css                                         | CSS                |        132 |         14 |         18 |        164 |
| Total                                                                                      |                    |    248,585 |        681 |      1,254 |    250,520 |
+--------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
